publication_number,application_number,country_code,kind_code,application_kind,application_number_formatted,pct_number,family_id,spif_publication_number,spif_application_number,title_localized.text,title_localized.language,title_localized.truncated,abstract_localized.text,abstract_localized.language,abstract_localized.truncated,claims_localized.text,claims_localized.language,claims_localized.truncated,claims_localized_html.text,claims_localized_html.language,claims_localized_html.truncated,description_localized.text,description_localized.language,description_localized.truncated,description_localized_html.text,description_localized_html.language,description_localized_html.truncated,publication_date,filing_date,grant_date,priority_date,priority_claim.publication_number,priority_claim.application_number,priority_claim.npl_text,priority_claim.type,priority_claim.category,priority_claim.filing_date,inventor,inventor_harmonized.name,inventor_harmonized.country_code,assignee,assignee_harmonized.name,assignee_harmonized.country_code,examiner.name,examiner.department,examiner.level,uspc.code,uspc.inventive,uspc.first,uspc.tree,ipc.code,ipc.inventive,ipc.first,ipc.tree,cpc.code,cpc.inventive,cpc.first,cpc.tree,fi.code,fi.inventive,fi.first,fi.tree,fterm.code,fterm.inventive,fterm.first,fterm.tree,locarno.code,locarno.inventive,locarno.first,locarno.tree,citation.publication_number,citation.application_number,citation.npl_text,citation.type,citation.category,citation.filing_date,parent.publication_number,parent.application_number,parent.npl_text,parent.type,parent.category,parent.filing_date,child.publication_number,child.application_number,child.npl_text,child.type,child.category,child.filing_date,entity_status,art_unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C02F101/30,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C02F9/00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C02F3/00,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C02F1/28,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218202517-U,CN-202222594095-U,CN,U,U,CN 202222594095,,84639183,CN218202517U,CN202222594095,Gate structure and thermal insulation pipeline,en,FALSE,"The application provides a gate structure and thermal insulation pipeline relates to glass production technical field. Wherein, the gate structure includes: the two temperature insulation doors are connected in the connecting pipe in a sliding manner, extend along a first direction and are oppositely arranged along a second direction; the thermal insulation door includes: the door plates can reciprocate along a second direction relative to the connecting pipes and are used for communicating or separating the connecting pipes; the first direction and the second direction are both horizontal directions, and the second direction is perpendicular to the first direction. This application technical scheme can control the connecting pipe through the temperature door that separates that a plurality of door plant are constituteed, adjusts opening and closing of connecting pipe, and the gate door body that can solve among the prior art integral type is because the volume is great, and temperature is inhomogeneous everywhere, easy distortion, leads to the technical problem that the gate became invalid and influence production.",en,FALSE,,,,,,,,,,,,,20230103,20220929,20230103,20220929,,CN-202222594095-U,,,,20220929,LI QING,LI QING,,河北光兴半导体技术有限公司,HEBEI GUANGXING SEMICONDUCTOR TECH CO LTD,,,,,,,,,C03B5/16,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,闸门结构以及隔温管道,zh,FALSE,本申请提供一种闸门结构以及隔温管道，涉及玻璃生产技术领域。其中，闸门结构包括：两个隔温门，用于滑动连接于连接管中，两个隔温门沿第一方向延伸，且沿第二方向相对设置；隔温门包括：沿第一方向排列的多个门板，门板能够相对连接管沿第二方向往复移动，用于连通或分隔连接管；其中，第一方向和第二方向均为水平方向，且第二方向与第一方向相互垂直。本申请技术方案可以通过多个门板组成的隔温门对连接管进行控制，调节连接管的开通和关闭，能够解决现有技术中一体式的闸门门体因为体积较大，各处温度不均匀，容易扭曲变形，导致闸门失效影响生产的技术问题。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,LI HERAN,LI HERAN,,北京远大信达科技有限公司,BEIJING YUANDA XINDA TECH CO LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duan Yapu,Duan Yapu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HU HENGGUANG,HU HENGGUANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LI ZHIJUN,LI ZHIJUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHANG HONGLING,SHANG HONGLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218202862-U,CN-202222066752-U,CN,U,U,CN 202222066752,,84653941,CN218202862U,CN202222066752,Cell culture device capable of performing classified culture,en,FALSE,"The utility model discloses a cell culture device of gradable cultivation relates to cell culture device technical field, and its technical scheme main points are: including the rack, the top surface of rack is provided with the standing groove, the quantity of standing groove is provided with five, the inside of standing groove is provided with the culture dish, the inner wall of standing groove is provided with the spread groove, the inner wall fixedly connected with anti-skidding card strip of spread groove, through being connected between layer board and the draw-in groove, make the utility model discloses can stack a plurality of culture dishes of tumour cell classification culture respectively in the standing groove, at the occupation space who has reduced a plurality of culture dishes, increase and the culture dish outer wall between frictional force make the culture dish be difficult for dropping in the standing groove through anti-skidding card strip, and carry out the sign record to the culture dish that the standing groove was placed through the sign board of rack top surface, avoided the multiple marking operation to the culture dish, made things convenient for the user to seek the culture dish fast.",en,FALSE,,,,,,,,,,,,,20230103,20220808,20230103,20220808,,CN-202222066752-U,,,,20220808,GU JUE,GU JUE,,南通大学附属医院,AFFILIATED HOSPITAL OF NANTONG UNIV,,,,,,,,,C12M3/00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种可分类培养的细胞培养装置,zh,FALSE,本实用新型公开了一种可分类培养的细胞培养装置，涉及细胞培养装置技术领域，其技术方案要点是：包括放置架，所述放置架的顶面设置有放置槽，所述放置槽的数量设置有五个，所述放置槽的内部设置有培养皿，所述放置槽的内壁设置有连接槽，所述连接槽的内壁固定连接有防滑卡条，通过托板与卡槽之间的连接，使得本实用新型可以对肿瘤细胞分类培养的多个培养皿分别叠放在放置槽内，在减少了多个培养皿的占用空间，通过防滑卡条增加与培养皿外壁之间的摩擦力使培养皿在放置槽内不易掉落，且通过放置架顶面的标识板对放置槽内放置的培养皿进行标识记录，避免了对培养皿的多次标记操作，方便了使用者快速对培养皿进行查找。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,ZHANG SIMING,ZHANG SIMING,,,,,,,,,,,,C12M1/00,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QIAN BO,QIAN BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEI JIALING,FEI JIALING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218204349-U,CN-202222802214-U,CN,U,U,CN 202222802214,,84642812,CN218204349U,CN202222802214,Bearing capacity reinforced prestressed pipe pile,en,FALSE,"The utility model discloses a prestressing force tubular pile of bearing capacity reinforcing relates to the tubular pile field, including main concrete layer, the both ends symmetry on main concrete layer is provided with the end fixed disk, the outside limit on main concrete layer has evenly been seted up and has been run through the end hole, the outside limit of end fixed disk has evenly been seted up and has been connected the screw, one the end fixed disk has grafting end block in the one end horizontal welding of keeping away from main concrete layer, fixed screw has evenly been seted up on the outside limit of grafting end block, one the end fixed disk has the cooperation ring body in one side horizontal welding of keeping away from main concrete layer, the cooperation through-hole has evenly been seted up on the outside limit of cooperation ring body, has made mutual butt joint position stability stronger under the structure of having adopted multiple reinforcement, has increased the further stability that has increased of outside parcel formula reinforced structure simultaneously, and also have apparent promotion effect to the bearing capacity of main part, and it is stronger to make its longer solidity in life when using.",en,FALSE,,,,,,,,,,,,,20230103,20221025,20230103,20221025,,CN-202222802214-U,,,,20221025,XU ZHONGMING,XU ZHONGMING,,北海德润建材有限公司,BEIHAI DERUN BUILDING MAT CO LTD,,,,,,,,,E02D5/52,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种承载力增强的预应力管桩,zh,FALSE,本实用新型公开了一种承载力增强的预应力管桩，涉及管桩领域，包括主混凝体层，所述主混凝体层的两端对称设置有端固定盘，所述主混凝体层的外侧边均匀开设有贯穿端孔，所述端固定盘的外侧边均匀开设有连接螺孔，一块所述端固定盘在远离主混凝体层的一端水平焊接有插接端块，所述插接端块的外侧边均匀开设有固定螺孔，一块所述端固定盘在远离主混凝体层的一侧边水平焊接有配合环体，所述配合环体的外侧边均匀开设有配合通孔，在采用了多重的加固的结构下使得相互之间对接连接位置稳定性更强，同时增加了外部的包裹式加固结构进一步的增加了稳定性，且对主体的承载力也有着显著的提升效果，让其在使用时寿命更长坚固度更强。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,YANG WUYUN,YANG WUYUN,,,,,,,,,,,,E02D5/58,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218210484-U,CN-202221542674-U,CN,U,U,CN 202221542674,,84648804,CN218210484U,CN202221542674,Drying equipment is used in production of high-efficient drier,en,FALSE,"The utility model provides a drying equipment is used in production of high-efficient drier belongs to drier production facility technical field, and this drying equipment is used in production of high-efficient drier includes the bottom plate, top one side fixedly connected with support of bottom plate, the top of support is rotated and is connected with a jar body, one side middle part swing joint that the support was kept away from to the bottom plate has hydraulic push rod, hydraulic push rod&#39;s top is rotated with one side bottom of the jar body and is connected, the bottom fixedly connected with motor of the jar body, the inside of the jar body is rotated and is connected with the pivot, the output shaft and the pivot fixed connection of motor, the outside fixedly connected with stirring rake of pivot, top one side of the jar body is provided with the opening. This drying equipment is used in production of high-efficient drier through the cooperation between hydraulic push rod, support and the jar body, can make jar body to a lopsidedness to pour out jar internal reactant, easy operation is laborsaving, is convenient for take out jar internal reactant, and it is more convenient to use.",en,FALSE,,,,,,,,,,,,,20230103,20220620,20230103,20220620,,CN-202221542674-U,,,,20220620,LI JIANKUN,LI JIANKUN,,郑州中岳高新材料有限公司,ZHENGZHOU ZHONGYUE HIGH AND NEW MAT CO LTD,,,,,,,,,F26B11/14,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种高效催干剂生产用烘干设备,zh,FALSE,本实用新型提供一种高效催干剂生产用烘干设备，属于催干剂生产设备技术领域，该高效催干剂生产用烘干设备包括底板，所述底板的顶部一侧固定连接有支架，所述支架的顶部转动连接有罐体，所述底板远离支架的一侧中部活动连接有液压推杆，所述液压推杆的顶端与罐体的一侧底部转动连接，所述罐体的底部固定连接有电机，所述罐体的内部转动连接有转轴，所述电机的输出轴与转轴固定连接，所述转轴的外侧固定连接有搅拌桨，所述罐体的顶部一侧设置有开口。该高效催干剂生产用烘干设备，通过液压推杆、支架和罐体之间的配合，能够使罐体向一侧倾斜，从而将罐体内部的反应物倒出，操作简单省力，便于将罐体内部的反应物取出，使用更加方便。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,WANG HAITAO,WANG HAITAO,,,,,,,,,,,,F26B25/06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEN RUBIN,CHEN RUBIN,,,,,,,,,,,,F26B23/04,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F26B25/04,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218211172-U,CN-202222518192-U,CN,U,U,CN 202222518192,,84637004,CN218211172U,CN202222518192,Tractor keeps off position detection mechanism and tractor,en,FALSE,"The utility model provides a tractor keeps off position detection mechanism and tractor. Tractor keeps off position detection mechanism includes: the sensor comprises a sensor connecting rod, a shifting fork, a sensor connecting seat, a sensor toggle pin shaft and a sensor connecting support used for being connected with a sensor, wherein one end of the sensor connecting rod is connected with one end face of the shifting fork, the sensor connecting seat is installed at the other end of the sensor connecting rod, the sensor toggle pin shaft is installed on the sensor connecting seat, the sensor toggle pin shaft protrudes out of the sensor connecting seat, and one end of the sensor connecting support is clamped with the sensor toggle pin shaft. Through the design of the transmission mechanism between the shifting fork and the sensor, the sensor is convenient to be connected with the shifting fork, the sensor is convenient to detect the position of the shifting fork, the gear detection is convenient to realize, and the problem of whether the gear is hooked in place or not is convenient to solve.",en,FALSE,,,,,,,,,,,,,20230103,20220922,20230103,20220922,,CN-202222518192-U,,,,20220922,Hu Zunqiang,Hu Zunqiang,,潍柴雷沃智慧农业科技股份有限公司,WEICHAI LEIWO SMART AGRICULTURE TECH CO LTD,,,,,,,,,B60K17/08,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种拖拉机挡位检测机构以及拖拉机,zh,FALSE,本实用新型提供了一种拖拉机挡位检测机构以及拖拉机。拖拉机挡位检测机构包括：传感器连接杆、拨叉、传感器连接座、传感器拨动销轴以及用于与传感器连接的传感器连接支架，所述传感器连接杆的一端与所述拨叉的一端端面连接，所述传感器连接座安装在所述传感器连接杆的另一端，所述传感器拨动销轴安装在所述传感器连接座上，所述传感器拨动销轴凸出所述传感器连接座，传感器连接支架的一端与所述传感器拨动销轴卡接。通过设计拨叉与传感器之间的传动机构，便于传感器与拨叉连接，便于传感器检测拨叉的位置，便于实现挡位检测，便于解决挡位是否挂接到位的问题。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,LI XUESHUN,LI XUESHUN,,,,,,,,,,,,G01B7/30,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUAN HAICHUAN,GUAN HAICHUAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAN KUNSHAN,SHAN KUNSHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAO MINGXIN,SHAO MINGXIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAO PENGYU,SHAO PENGYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEN ZHENKUN,CHEN ZHENKUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218211430-U,CN-202221881066-U,CN,U,U,CN 202221881066,,84651602,CN218211430U,CN202221881066,Leakage detector for air outlet of automobile air conditioner,en,FALSE,"The utility model discloses a leakage amount detector is let out to vehicle air conditioner air outlet, comprising a base plate, bottom plate upper surface one side is fixed with the backplate, the backplate top is fixed with test bellows, the inside baffle that is equipped with of test bellows, test bellows both sides all are connected with tuber pipe and controller, the backplate both sides all are connected with first bounding wall through the hinge rotation. The utility model discloses in, be provided with bottom plate, backplate, test bellows, two first bounding walls, two second bounding walls and baffle strip, two second bounding walls bottoms all are equipped with the block structure, baffle strip middle part is equipped with the draw-in groove, and two first bounding walls rotate with the backplate both sides to be connected, and two second bounding walls rotate with two first bounding walls respectively to be connected, consequently when this detector of production equipment, can rotate first bounding wall and second bounding wall completely and open for the space of bottom plate top is bigger, thereby gives and is convenient for at detection device such as bottom plate surface mounting gas flowmeter.",en,FALSE,,,,,,,,,,,,,20230103,20220720,20230103,20220720,,CN-202221881066-U,,,,20220720,SHI YUN,SHI YUN,,苏州市丰本精密自动化设备有限公司,SUZHOU FENGBEN PREC AUTOMATION EQUIPMENT CO LTD,,,,,,,,,G01F15/18,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种汽车空调出风口泄漏量检测仪,zh,FALSE,本实用新型公开了一种汽车空调出风口泄漏量检测仪，包括底板，所述底板上表面一侧固定有背板，所述背板顶端固定有测试风箱，所述测试风箱内部设有隔板，所述测试风箱两侧均连接有风管和控制器，所述背板两侧均通过铰链转动连接有第一围板。本实用新型中，设置有底板、背板、测试风箱、两个第一围板、两个第二围板和挡板条，两个第二围板底部均设有卡合结构，所述挡板条中部设有卡槽，两个第一围板与背板两侧转动连接，两个第二围板分别与两个第一围板转动连接，因此在生产组装该检测仪时，可以将第一围板和第二围板完全转动打开，使得底板上方的空间更大，从而给便于在底板表面安装气体流量计等检测装置。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G01L19/00,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G01L11/00,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G01F1/00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218213175-U,CN-202222398309-U,CN,U,U,CN 202222398309,,84632392,CN218213175U,CN202222398309,High-precision current sampling device,en,FALSE,"The application relates to a high-precision current sampling device, which belongs to the technical field of current sampling and comprises a sampling resistor unit and a heating unit, wherein the sampling resistor unit comprises a sampling resistor and a circuit board, and the sampling resistor is connected to the circuit board and used for sampling current; the heating unit comprises a PTC resistor, and the PTC resistor is placed below the sampling resistor and used for directly heating the sampling resistor to a preset temperature. The present application has the following effects: reduce the heat energy loss, more can heat sampling resistor to predetermined temperature accurately, reduce sampling resistor because the resistance change that the temperature drifts the cause, promoted the sampling precision, and overall design scheme simple structure, the operation of being convenient for.",en,FALSE,,,,,,,,,,,,,20230103,20220908,20230103,20220908,,CN-202222398309-U,,,,20220908,LIU JUN,LIU JUN,,深圳市英可瑞数字能源技术有限公司,SHENZHEN YINGKERUI DIGITAL ENERGY TECH CO LTD,,,,,,,,,G01R19/00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种高精度的电流采样装置,zh,FALSE,本申请涉及一种高精度的电流采样装置，属于电流采样技术领域，其包括采样电阻单元和加热单元，所述采样电阻单元包括采样电阻和电路板，所述采样电阻连接在电路板上，用于对电流采样；所述加热单元包括PTC电阻，所述PTC电阻放置在采样电阻的下方，用于将采样电阻直接加热到预设温度。本申请具有以下效果：减少热能损耗，更能精确地将采样电阻加热到预设的温度，降低采样电阻由于温漂造成的电阻变化，提升了采样精度，且整体设计方案结构简单，便于操作。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,LAN ZHOU,LAN ZHOU,,,,,,,,,,,,G01R1/44,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chen Shuangdong,Chen Shuangdong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN JINGJUN,LIN JINGJUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218213185-U,CN-202222217580-U,CN,U,U,CN 202222217580,,84658814,CN218213185U,CN202222217580,Power grid parameter sampling module system,en,FALSE,"The utility model relates to a power grid parameter sampling module system, which comprises a processor, current signal sampling module, voltage signal sampling module, electric energy metering module, communication module, power module, current signal sampling module&#39;s output, voltage signal sampling module&#39;s output is connected electric energy metering module&#39;s input respectively, electric energy metering module&#39;s output connection processor&#39;s input, the treater is connected with the communication module electricity, power module is the treater respectively, current signal sampling module, voltage signal sampling module, electric energy metering module, communication module provides operating voltage. The utility model discloses electric wire netting parameter sampling module system has the manufacturing cost of convenient to use, reducible equipment and the advantage of equipment treater work load.",en,FALSE,,,,,,,,,,,,,20230103,20220823,20230103,20220823,,CN-202222217580-U,,,,20220823,TANG ZHENMIN,TANG ZHENMIN,,指明集团有限公司,ZHIMING GROUP CO LTD,,,,,,,,,G01R19/25,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种电网参数采样模块系统,zh,FALSE,本实用新型涉及一种电网参数采样模块系统，包括处理器、电流信号采样模块、电压信号采样模块、电能计量模块、通信模块、电源模块，电流信号采样模块的输出端、电压信号采样模块的输出端分别连接电能计量模块的输入端，电能计量模块的输出端连接处理器的输入端，处理器与通信模块电连接，电源模块分别为处理器、电流信号采样模块、电压信号采样模块、电能计量模块、通信模块提供工作电压。本实用新型电网参数采样模块系统具有使用便利、可减少设备的生产成本及设备处理器工作量的优点。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,TANG XIAOHUI,TANG XIAOHUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEN YUXIANG,CHEN YUXIANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YE BAIHAO,YE BAIHAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218213477-U,CN-202222063765-U,CN,U,U,CN 202222063765,,84653887,CN218213477U,CN202222063765,Import and export detection device for goods with function disappears and kills,en,FALSE,"The utility model discloses an import and export goods and use detection device with function of killing, including the detection cabinet body, the backup pad is worn to be equipped with in the inside of the detection cabinet body, is provided with the transportation area in the backup pad, and the side of backup pad is provided with first motor, and the outside in transportation area is provided with the disinfection frame, and the top of disinfection frame is provided with the water pump, and the top of water pump is provided with a disinfection section of thick bamboo, and the output of water pump is provided with the infusion hose, and the output of infusion hose runs through into just be connected with in the disinfection frame and spray the subassembly. This application is provided with the detection cabinet body, backup pad, transportation area, first motor, disinfection frame, water pump, a disinfection section of thick bamboo, infusion hose, runway type transfusion rod, first drain pole, second drain pole, shower nozzle, spout, spacing groove, the lantern ring, transfer line, spacing arch, spring, regulating roller, oval roller and second motor structure, compares with prior art, and this application has increased disinfection mechanism, can disinfect to the goods after detecting the completion.",en,FALSE,,,,,,,,,,,,,20230103,20220805,20230103,20220805,,CN-202222063765-U,,,,20220805,Ning Xiaonan,Ning Xiaonan,,关检检测技术(大连)有限公司,GUANJIAN DETECTION TECH DALIAN CO LTD,,,,,,,,,A61L2/26,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种具有消杀功能的进出口货物用检测装置,zh,FALSE,本实用新型公开了一种具有消杀功能的进出口货物用检测装置，包括检测柜体，检测柜体的内部穿设有支撑板，支撑板上设置有运输带，支撑板的侧面设置有第一电机，运输带的外侧设置有消毒框，消毒框的顶部设置有水泵，水泵的顶部设置有消毒筒，水泵的输出端设置有输液软管，输液软管的输出端贯穿入所述消毒框内且连接有喷洒组件。本申请设置有检测柜体、支撑板、运输带、第一电机、消毒框、水泵、消毒筒、输液软管、跑道型输液杆、第一导液杆、第二导液杆、喷头、滑槽、限位槽、套环、传动杆、限位凸起、弹簧、调节辊、椭圆辊和第二电机结构，和现有技术相比，本申请增设有消毒机构，可以对检测完成后的货物进行消毒。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A61L2/18,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G01V5/00,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218219456-U,CN-202222130450-U,CN,U,U,CN 202222130450,,84682313,CN218219456U,CN202222130450,Mechanical pressing pump structure for hair dyeing comb and hair dyeing comb,en,FALSE,"The utility model discloses a machinery is pressed press pump structure and is dyed hair comb for dyeing hair comb, machinery is pressed the press pump structure and is included: according to press pump and pressing mechanism, the top of pressing the pump is for pressing the end, and pressing mechanism locates the chassis according to the pump bottom including fixed cover, with the roof-rack of pressing the end butt, be located the push rod frame between chassis and the roof-rack, the lower extreme of roof-rack is articulated with the push rod frame, transversely push rod frame both ends divide into with chassis articulated end, the operation end that the down slope extends, the lower extreme of roof-rack articulates between push rod frame both ends. Through pressing the operation end on horizontal, drive and press the swing down of pole frame to drive the relative chassis of roof-rack and move down, be close to the centre gripping each other at roof-rack and chassis, drive and press the end and down press, make and press the pump and press down the drawing liquid, need not to operate on vertical direction like this and press, press the pole frame and drive the roof-rack through lever principle and realize the press motion, play laborsaving effect, compact structure.",en,FALSE,,,,,,,,,,,,,20230106,20220812,20230106,20220812,,CN-202222130450-U,,,,20220812,XIE FAN,XIE FAN,,佛山市风顺科技开发有限公司,FOSHAN FENGSHUN TECH DEVELOPMENT CO LTD,,,,,,,,,A45D24/28,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种用于染发梳的机械按压泵结构及染发梳,zh,FALSE,本实用新型公开了一种用于染发梳的机械按压泵结构及染发梳，机械按压泵结构包括：按压泵和按压机构，按压泵的顶端为按压端，按压机构包括固定套设于按压泵底端的底架、与按压端抵接的顶架、位于底架与顶架之间的按压杆架，顶架的下端与按压杆架铰接，在横向上按压杆架两端分为与底架铰接的铰接端、往下倾斜延伸的操作端，顶架的下端铰接于按压杆架两端之间。通过在横向上按压操作端，带动按压杆架往下摆动，以带动顶架相对底架往下移动，在顶架与底架相互靠近夹持下，带动按压端往下压，使得按压泵按压抽液，这样无需在竖直方向上进行操作按压，按压杆架通过杠杆原理来带动顶架实现按压运动，起到省力的效果，结构紧凑。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,LIN PEIZHI,LIN PEIZHI,,,,,,,,,,,,B65D47/34,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A45D19/02,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
